"city","state","GEOID","holc_grade_pop"
"Birmingham","AL","01073000100",3.38406463876741
"Birmingham","AL","01073000300",3.99941541827585
"Birmingham","AL","01073001400",3.98542405337087
"Birmingham","AL","01073002100",2.99966983427353
"Birmingham","AL","01073002700",4
"Birmingham","AL","01073003100",2.88638799638417
"Birmingham","AL","01073003700",3.01734992056231
"Birmingham","AL","01073003803",3.78673734696708
"Birmingham","AL","01073003900",3.99953350279682
"Birmingham","AL","01073004000",3.33936566357685
"Birmingham","AL","01073005101",3.9998385761987
"Birmingham","AL","01073005701",4
"Birmingham","AL","01073010603",3
"Birmingham","AL","01073010900",3.5991988350042
"Birmingham","AL","01073011803",
"Birmingham","AL","01073012401",4
"Birmingham","AL","01073013002",4
"Birmingham","AL","01073000500",4
"Birmingham","AL","01073000700",4
"Birmingham","AL","01073000800",3.77293317381772
"Birmingham","AL","01073001100",4
"Birmingham","AL","01073001200",3.97060687979439
"Birmingham","AL","01073001500",3.92959737797235
"Birmingham","AL","01073001600",3.48328412249035
"Birmingham","AL","01073001902",3.56522709905347
"Birmingham","AL","01073002000",3.00525218856223
"Birmingham","AL","01073002200",3.4379218591247
"Birmingham","AL","01073002303",4
"Birmingham","AL","01073002305",3.0451915444979
"Birmingham","AL","01073002306",2.83360971687595
"Birmingham","AL","01073002400",3.73452396748743
"Birmingham","AL","01073002900",3.85459678161954
"Birmingham","AL","01073003001",2.58179284817572
"Birmingham","AL","01073003002",3.08315312911006
"Birmingham","AL","01073003200",3.8406750834881
"Birmingham","AL","01073003300",4
"Birmingham","AL","01073003400",3.33102958372279
"Birmingham","AL","01073003500",4
"Birmingham","AL","01073003600",2.89130487666654
"Birmingham","AL","01073003802",3.47580214222372
"Birmingham","AL","01073004200",3.51296359024356
"Birmingham","AL","01073004500",3.71933008886874
"Birmingham","AL","01073004701",2.45634968734896
"Birmingham","AL","01073004702",1.95422640291405
"Birmingham","AL","01073004901",2.50185794423778
"Birmingham","AL","01073004902",2.98400111331566
"Birmingham","AL","01073005000",2.94074051248102
"Birmingham","AL","01073005103",4
"Birmingham","AL","01073005104",4
"Birmingham","AL","01073005200",3.78445664284795
"Birmingham","AL","01073005302",2.44102598689517
"Birmingham","AL","01073005500",4
"Birmingham","AL","01073005600",3.43068712264414
"Birmingham","AL","01073005702",3.75495294453505
"Birmingham","AL","01073005800",
"Birmingham","AL","01073005903",
"Birmingham","AL","01073005905",4
"Birmingham","AL","01073005907",
"Birmingham","AL","01073005908",
"Birmingham","AL","01073005909",4
"Birmingham","AL","01073005910",4
"Birmingham","AL","01073010500",
"Birmingham","AL","01073010602",3.61467735257901
"Birmingham","AL","01073010701",2
"Birmingham","AL","01073010702",2.70985038781151
"Birmingham","AL","01073010703",2.01885253485688
"Birmingham","AL","01073010704",2.59048629516702
"Birmingham","AL","01073010705",2.46864828854788
"Birmingham","AL","01073010706",
"Birmingham","AL","01073010801",2.35539784572589
"Birmingham","AL","01073010802",1.08508057650653
"Birmingham","AL","01073010803",3.63720660713172
"Birmingham","AL","01073000400",3.61464477729389
"Birmingham","AL","01073011600",
"Birmingham","AL","01073011703",
"Birmingham","AL","01073011705",
"Birmingham","AL","01073011901",4
"Birmingham","AL","01073011904",3.99956293927224
"Birmingham","AL","01073012001",
"Birmingham","AL","01073012002",4
"Birmingham","AL","01073012103",
"Birmingham","AL","01073012104",
"Birmingham","AL","01073012304",
"Birmingham","AL","01073012402",4
"Birmingham","AL","01073012403",
"Birmingham","AL","01073012500",4
"Birmingham","AL","01073010804",1
"Birmingham","AL","01073010805",1.53044511244839
"Birmingham","AL","01073012602",4
"Birmingham","AL","01073012701",4
"Birmingham","AL","01073012703",
"Birmingham","AL","01073012803",
"Birmingham","AL","01073012905",
"Birmingham","AL","01073012910",
"Birmingham","AL","01073012911",
"Birmingham","AL","01073012914",
"Birmingham","AL","01073012915",
"Birmingham","AL","01073014302",4
"Birmingham","AL","01073014404",2
"Birmingham","AL","01073013100",4
"Birmingham","AL","01073013200",3
"Birmingham","AL","01073013300",
"Birmingham","AL","01073013400",
"Birmingham","AL","01073013601",
"Birmingham","AL","01073013901",
"Birmingham","AL","01073004800",1.8968791630337
"Birmingham","AL","01073012802",
"Birmingham","AL","01117030212",
"Birmingham","AL","01117030213",
"Mobile","AL","01097000200",3.99336139764544
"Mobile","AL","01097000402",4
"Mobile","AL","01097000901",2.63313489470404
"Mobile","AL","01097001002",3.27971360053512
"Mobile","AL","01097001400",3.72298798180603
"Mobile","AL","01097002400",3.53622144621988
"Mobile","AL","01097007400",4
"Mobile","AL","01097000401",4
"Mobile","AL","01097000500",3.83406351449867
"Mobile","AL","01097000600",4
"Mobile","AL","01097000701",
"Mobile","AL","01097000800",2.9686135582
"Mobile","AL","01097000902",2.75807736521091
"Mobile","AL","01097000903",2.88436561597686
"Mobile","AL","01097001001",3.06884241143903
"Mobile","AL","01097001100",3.96068715905631
"Mobile","AL","01097001200",3.75214832999294
"Mobile","AL","01097001302",3.7164959781833
"Mobile","AL","01097001501",4
"Mobile","AL","01097001502",3.92307250185981
"Mobile","AL","01097002200",
"Mobile","AL","01097002301",3.91768310192886
"Mobile","AL","01097002302",3
"Mobile","AL","01097002501",2.59594160540455
